Id,FirstName,LastName,Email,Phone,Title,AccountId,LeadSource,Lead_Stage__c,HasOptedOutOfEmail,DoNotCall,OwnerId,Owner_Name,CreatedDate,LastModifiedDate,LastActivityDate,consent_basis,region,duplicate_key,confidence
003TTAe7YV378jlm2Z,Lena,Ncube,lena.ncube@highland.com,60169012174,Analyst,001zFBTL4HjeE6O3X5,Pricing Page,Open,FALSE,FALSE,005AE3,Wei Ho,7/11/2026,7/8/2026,7/9/2026,opt_in,ID,lenancube@highland.com,
003AIyJKzOngMJv6BV,Kumar,Ismail ,kumar.ismail@cendana.com,60129949046,,001DqPOAEhtUaG5zpX,Referral,Customer,FALSE,FALSE,005AE3,Wei Ho,1/7/2026,7/8/2026,7/15/2026,consent,IN,kumarismail@cendana.com,0.8
003p7rC5YwVTNekUnZ,James,Cheng ,james.cheng@highland.com,60173453813,VP Finance,001czRhV7L6PwXABeP,Pricing Page,SQL,TRUE,FALSE,005AE3,Wei Ho,6/24/2026,7/10/2026,6/22/2026,soft_opt_in,ID,jamescheng@highland.com,0.65
003EHGL4D4Vo3txzQT,Marcus,WONG,marcus.wong@straits.com,60105883216,Analyst,001emnneWwt2WsopvX,Content,Open,FALSE,FALSE,005AE3,Wei Ho,6/14/2026,7/14/2026,7/14/2026,opt_in,IN,marcuswong@straits.com,0.91
003Ua1adavpWKR9c2s,Faizal,Ong,faizal.ong@delta.com,60164457990,Procurement Lead,001XP4wFZEA5SFB2eQ,Trade Show,Opportunity,FALSE,FALSE,005AE3,Wei Ho,7/1/2026,7/4/2026,6/24/2026,opt_in,MY,faizalong@delta.com,0.88
003rSxXve61Lq38YFh,Rajesh,NAIR,rajesh.nair@andaman.com,60154508875,,001zeskKCwlSjzF33C,Trade Show,Open,FALSE,FALSE,005AE1,Mei Chen,6/22/2026,7/12/2026,6/25/2026,consent,IN,rajeshnair@andaman.com,0.86
00396C6HxHXrhyecH3,Farah,Menon ,farah.menon@lotus.com,60138680642,Procurement Lead,001ZrNDru0WnWI7C1E,Web,SQL,FALSE,FALSE,005AE2,Arjun Prakash,6/8/2026,7/7/2026,6/16/2026,soft_opt_in,TH,farahmenon@lotus.com,0.67
003l8OWzljbJ0NnaKw,Arun,Ho,arun.ho@highland.com,60198960324,VP Finance,001KLFqZmwWENh8l4n,Pricing Page,Opportunity,FALSE,TRUE,005AE1,Mei Chen,7/9/2026,7/13/2026,6/28/2026,opt_in,TH,arunho@highland.com,0.97
003uNxughaCJZ1YMs9,Faizal,Ng,faizal.ng@straits.com,60163082460,Procurement Lead,001uOiJaJkJat7CrhI,Pricing Page,MQL,FALSE,FALSE,005AE1,Mei Chen,6/6/2026,7/12/2026,6/22/2026,opt_in,IN,faizalng@straits.com,0.59
0039dOnvbLvkGO5FvE,Rajesh,Das,rajesh.das@highland.com,60192671738,IT Manager,001zeskKCwlSjzF33C,Web,MQL,FALSE,FALSE,005AE2,Arjun Prakash,6/18/2026,7/8/2026,6/25/2026,opt_in,IN,rajeshdas@highland.com,0.59
003QYoqD7N5s2QrSBT,Daniel,Ong,daniel.ong@northern.com,60118220188,IT Manager,001o1u7ckTr414cYaE,Web,Opportunity,FALSE,FALSE,005AE4,Priya Nair,6/11/2026,7/14/2026,6/17/2026,soft_opt_in,TH,danielong@northern.com,0.82
003foruN2bI7irZa7S,Michael,Lee,michael.lee@orionfreight.com,60193487730,,001DqPOAEhtUaG5zpX,Web,SQL,FALSE,FALSE,005AE4,Priya Nair,7/11/2026,7/10/2026,6/27/2026,consent,IN,michaellee@orion.com,
0034SaTsCmEY6aeBEA,Michael,Lee,m.lee@orionfreight.com,60185115445,Procurement Lead,001DqPOAEhtUaG5zpX,Pricing Page,Open,FALSE,FALSE,005AE3,Wei Ho,6/29/2026,7/11/2026,7/14/2026,consent,IN,mlee@orion.com,0.98
003GMPRbtpqAKZ82id,Lena,Chua,lena.chua@cendana.com,60154618700,Procurement Lead,0017ZpRREyu0xUNxMk,Webinar,Opportunity,FALSE,FALSE,005AE1,Mei Chen,6/27/2026,7/14/2026,7/13/2026,soft_opt_in,MY,lenachua@cendana.com,
0036IpmfT3noEy0NAU,Wei,Wong,wei.wong@straits.com,60198003940,VP Finance,001zFBTL4HjeE6O3X5,Web,Opportunity,FALSE,FALSE,005AE3,Wei Ho,6/21/2026,7/14/2026,7/5/2026,soft_opt_in,ID,weiwong@straits.com,0.91
003Qdx3WB2jM5qNaob,Nadia,Tan,nadia.tan@lumina.com,60112848096,Analyst,001zeskKCwlSjzF33C,Web,SQL,FALSE,FALSE,005AE1,Mei Chen,6/5/2026,7/13/2026,7/3/2026,opt_in,IN,nadiatan@lumina.com,0.8
003jOff2KR4ea8nKPy,Nurul,Hassan,nurul.hassan@delta.com,60142419826,Head of Ops,001qq3TNBjJ3KzyUi2,Webinar,Open,FALSE,FALSE,005AE4,Priya Nair,6/29/2026,7/11/2026,6/22/2026,opt_in,MY,nurulhassan@delta.com,0.57
003Cz5BK79Vc8PxESN,Aisha,Wong,aisha.wong@lotus.com,60157292480,Procurement Lead,001Ro9LKAn1aSYMmyY,Content,Open,FALSE,FALSE,005AE4,Priya Nair,6/24/2026,7/8/2026,6/22/2026,opt_in,TH,aishawong@lotus.com,0.89
003D1sVRnl3PpSwyTc,Bryan,Teo,bryan.teo@klang.com,60195830478,VP Finance,001TBInfrgtzjDX8yt,Webinar,SQL,FALSE,FALSE,005AE1,Mei Chen,7/9/2026,7/6/2026,6/26/2026,opt_in,SG,bryanteo@klang.com,0.93
003gybdOyBcQbgqizi,Lena,Chen,lena.chen@summit.com,60166817131,Procurement Lead,001ZMszSLB72NFP6ir,Trade Show,Customer,FALSE,FALSE,005AE3,Wei Ho,6/22/2026,7/12/2026,7/12/2026,opt_in,SG,lenachen@summit.com,0.72
003icpXj7VwT0AazRl,Grace,Yeoh,grace.yeoh@northgate.com,60176574048,Head of Ops,001XkIYYMYi2hcBYX0,Web,MQL,FALSE,FALSE,005AE2,Arjun Prakash,6/9/2026,7/6/2026,7/9/2026,opt_in,IN,graceyeoh@northgate.com,0.83
003Mt2xVzKFS6UVS1X,Grace,Yeoh,g.yeoh@northgate-inst.com,60111018927,Procurement Lead,001XkIYYMYi2hcBYX0,Pricing Page,MQL,FALSE,FALSE,005AE4,Priya Nair,6/10/2026,7/14/2026,7/11/2026,opt_in,IN,gyeoh@northgate.com,0.62
003PPBgaiaQb5fsyhs,Siti,Chua,siti.chua@highland.com,60113926262,,001XkIYYMYi2hcBYX0,Pricing Page,SQL,FALSE,FALSE,005AE1,Mei Chen,5/6/2026,7/4/2026,6/22/2026,opt_in,IN,sitichua@highland.com,0.64
0035ncDTvs38nrFMAS,Mei,Ong,mei.ong@highland.com,60144867935,Procurement Lead,001XVPrG5zoRw6R4bE,Referral,Open,FALSE,FALSE,005AE3,Wei Ho,7/12/2026,7/7/2026,7/11/2026,soft_opt_in,ID,meiong@highland.com,
003gRzSdAK4hk0THac,Sarah,Ong,sarah.ong@bharat.com,60106805109,GM,001QH756sYhE3xvrqJ,Content,Opportunity,FALSE,FALSE,005AE3,Wei Ho,6/22/2026,7/13/2026,6/26/2026,opt_in,SG,sarahong@bharat.com,0.82
0034Kp57AK0Q8FTBl6,Zara,Krishnan,zara.krishnan@northern.com,60133614136,Analyst,001Ro9LKAn1aSYMmyY,Web,MQL,FALSE,FALSE,005AE2,Arjun Prakash,6/13/2026,7/12/2026,7/4/2026,opt_in,TH,zarakrishnan@northern.com,0.79
0036OWyxgUn0io4Jzf,Grace,Chen,grace.chen@andaman.com,60196605389,Procurement Lead,001vTpO5ZiKeUS89sO,Content,Open,FALSE,FALSE,005AE2,Arjun Prakash,7/6/2026,7/9/2026,6/29/2026,opt_in,ID,gracechen@andaman.com,0.62
003R2WaD3vKzeg8dua,Jaya,Lim,jaya.lim@highland.com,60110959073,VP Finance,0015Ow05Rcuo8wKeHk,Web,MQL,FALSE,FALSE,005AE4,Priya Nair,7/2/2026,7/7/2026,6/26/2026,opt_in,ID,jayalim@highland.com,0.67
0032kprEnDkDmvntmO,Bryan,Kumar,bryan.kumar@highland.com,60132658426,VP Finance,001zJ1DMIY5suKOMgP,Webinar,Open,FALSE,FALSE,005AE2,Arjun Prakash,6/17/2026,7/4/2026,6/19/2026,opt_in,ID,bryankumar@highland.com,0.85
0038lsG6yy7CXcdEmA,Aisha,TEO,aisha.teo@orion.com,60181031970,GM,001y7oXm8Oa2wFG5HC,Pricing Page,Customer,FALSE,FALSE,005AE2,Arjun Prakash,7/5/2026,7/13/2026,6/18/2026,opt_in,MY,aishateo@orion.com,0.65
003X4WkkjgtCJoThbW,Wan,Teo,wan.teo@northgate.com,60113059573,Analyst,001ZrNDru0WnWI7C1E,Webinar,Opportunity,FALSE,FALSE,005AE3,Wei Ho,7/11/2026,7/10/2026,6/15/2026,opt_in,TH,wanteo@northgate.com,0.9
003tnXMtZLCMRZ2qCM,Tariq,Goh,tariq.goh@northgate.com,60179660215,Analyst,001zeskKCwlSjzF33C,Referral,Customer,FALSE,FALSE,005AE4,Priya Nair,7/14/2026,7/6/2026,6/20/2026,opt_in,IN,tariqgoh@northgate.com,0.67
003avgMFIdExp3RZCV,Kumar,Kumar LLC,kumar.kumar@zenith.com,60124984931,Analyst,0014QNOMWOjv9qdb2V,Content,Customer,FALSE,FALSE,005AE2,Arjun Prakash,6/12/2026,7/12/2026,7/15/2026,opt_in,SG,kumarkumar@zenith.com,0.95
003B4xW8I94QLqLzQX,Zara,Tan,zara.tan@harbor.com,60165910053,Procurement Lead,001czRhV7L6PwXABeP,Web,Customer,FALSE,FALSE,005AE4,Priya Nair,6/16/2026,7/7/2026,6/18/2026,soft_opt_in,ID,zaratan@harbor.com,0.64
003WvWycNQaJpGJsjr,Jaya,Abdullah,jaya.abdullah@northgate.com,60106429987,IT Manager,001BxXdFCOmhaNf0ez,Web,Customer,FALSE,FALSE,005AE3,Wei Ho,7/5/2026,7/5/2026,6/27/2026,soft_opt_in,TH,jayaabdullah@northgate.com,0.72
003blM0OJ6mHvqPbbV,Kumar,Ong,kumar.ong@straits.com,60183301363,GM,001KRbHQQpMxQhnrct,Pricing Page,Open,FALSE,FALSE,005AE4,Priya Nair,6/7/2026,7/13/2026,7/13/2026,soft_opt_in,SG,kumarong@straits.com,0.61
003p3uRpiaLhhYbTvt,Mei,Lee,mei.lee@sunrise.com,60186885433,,001ZrNDru0WnWI7C1E,Web,Open,FALSE,FALSE,005AE2,Arjun Prakash,6/9/2026,7/6/2026,6/16/2026,opt_in,TH,meilee@sunrise.com,0.66
003sNGixBTRY5NKMY9,Anjali,Iyer ,anjali.iyer@mekong.com,60166519171,Head of Ops,001XkIYYMYi2hcBYX0,Trade Show,Customer,FALSE,FALSE,005AE2,Arjun Prakash,6/13/2026,7/11/2026,6/30/2026,opt_in,IN,anjaliiyer@mekong.com,0.88
003o1KW3FT7J1Wb6gG,Uma,Hassan,uma.hassan@highland.com,60149546322,IT Manager,001wlaDCnCdllvimD4,Trade Show,Opportunity,FALSE,FALSE,005AE2,Arjun Prakash,7/9/2026,7/14/2026,6/23/2026,soft_opt_in,MY,umahassan@highland.com,0.95
003zGvsU55UC7Ep3Fv,Lakshmi,Das,lakshmi.das@coastal.com,60175657928,Procurement Lead,001bnKtBrKYKSSBpwN,Referral,Open,FALSE,FALSE,005AE1,Mei Chen,6/17/2026,7/12/2026,6/28/2026,soft_opt_in,ID,lakshmidas@coastal.com,0.71
0031rYak8x5Ajg0oqi,Omar,Gopal ,omar.gopal@coastal.com,60178429546,Analyst,001DqPOAEhtUaG5zpX,Referral,Open,FALSE,FALSE,005AE1,Mei Chen,6/5/2026,7/12/2026,6/27/2026,consent,IN,omargopal@coastal.com,0.77
003d6teEsgPckDX2AN,Jaya,Das,jaya.das@lumina.com,60119500026,GM,0018pb10cLQ0vkB1eE,Content,Open,FALSE,FALSE,005AE2,Arjun Prakash,6/25/2026,7/14/2026,7/13/2026,opt_in,ID,jayadas@lumina.com,0.88
00328hDV9pZCHmbWv1,Chloe,Raj,chloe.raj@lumina.com,60170738686,Procurement Lead,001o1u7ckTr414cYaE,Content,SQL,FALSE,FALSE,005AE1,Mei Chen,6/19/2026,7/11/2026,6/17/2026,opt_in,TH,chloeraj@lumina.com,0.62
003xTOrW6iBBdHGtzn,Bryan,OSMAN,bryan.osman@kirana.com,60197483000,,001wlaDCnCdllvimD4,Content,Opportunity,FALSE,FALSE,005AE4,Priya Nair,6/26/2026,7/13/2026,6/29/2026,opt_in,MY,bryanosman@kirana.com,0.9
003snsSNc31BW1Ojii,Sarah,Krishnan ,sarah.krishnan@lotus.com,60103734234,,001KLFqZmwWENh8l4n,Web,Customer,FALSE,FALSE,005AE2,Arjun Prakash,6/11/2026,7/8/2026,7/8/2026,soft_opt_in,TH,sarahkrishnan@lotus.com,0.81
003s44EKQugkzkc5XN,Siti,KUMAR,siti.kumar@meridian.com,60195613551,Head of Ops,001QH756sYhE3xvrqJ,Webinar,Open,FALSE,FALSE,005AE2,Arjun Prakash,7/2/2026,7/10/2026,6/26/2026,soft_opt_in,SG,sitikumar@meridian.com,0.72
003aWNXPWFPn6ZfzWQ,Arun,Abdullah,arun.abdullah@brightwave.com,60183524073,VP Finance,001jJI14UZmcqlVw5M,Referral,Open,FALSE,FALSE,005AE3,Wei Ho,7/10/2026,7/14/2026,6/22/2026,soft_opt_in,SG,arunabdullah@brightwave.com,0.78
003C2l2nYaRtlNP1yf,Hakim,Lee,hakim.lee@klang.com,60118591855,Analyst,001799bPWF8ea48ie7,Pricing Page,Open,FALSE,FALSE,005AE3,Wei Ho,6/12/2026,7/7/2026,7/7/2026,opt_in,MY,hakimlee@klang.com,0.85
003nj576dfv9I9pfnz,Wei,Loo,wei.loo@northgate.com,60154962129,GM,001JffndpEwzhlu4bS,Referral,Customer,TRUE,FALSE,005AE3,Wei Ho,6/25/2026,7/10/2026,7/1/2026,opt_in,TH,weiloo@northgate.com,0.85
003zxgJgL2leXYC0VW,James,Abdullah,james.abdullah@andaman.com,60179744128,Founder,001wjlpFhmyYbEU2tD,Referral,Opportunity,FALSE,FALSE,005AE2,Arjun Prakash,6/17/2026,7/5/2026,7/2/2026,soft_opt_in,ID,jamesabdullah@andaman.com,0.89
0039OClGq4wGa6AjRP,Marcus,Hassan,marcus.hassan@pacific.com,60103575690,IT Manager,001PCJEf1Lir6msChM,Web,Open,FALSE,FALSE,005AE3,Wei Ho,7/8/2026,7/10/2026,7/3/2026,soft_opt_in,SG,marcushassan@pacific.com,0.6
003j40yPUgr3U4pVAa,Mei,Lee ,mei.lee@pacific.com,60136078797,,001Y3LBbuJoB9K6hD6,Web,SQL,FALSE,FALSE,005AE2,Arjun Prakash,7/10/2026,7/9/2026,7/8/2026,soft_opt_in,TH,meilee@pacific.com,0.62
003hj8MRa5GGQVGTED,Sarah,Menon,sarah.menon@bharat.com,60146178390,GM,0017Sqr0O072IojSHD,Web,SQL,FALSE,FALSE,005AE3,Wei Ho,6/15/2026,7/12/2026,6/26/2026,opt_in,TH,sarahmenon@bharat.com,0.97
003QKxkyppoOYAXuZI,Rajesh,Rahman,rajesh.rahman@northgate.com,60100751669,,001KRbHQQpMxQhnrct,Referral,MQL,FALSE,FALSE,005AE3,Wei Ho,7/15/2026,7/4/2026,6/16/2026,soft_opt_in,SG,rajeshrahman@northgate.com,0.98
